The frequencys and magnitudes are:
frequencies[0.00], magnitudes[20.77764]
frequencies[46.88], magnitudes[21.60269]
frequencies[93.75], magnitudes[24.61322]
frequencies[140.62], magnitudes[32.64598]
frequencies[187.50], magnitudes[66.05467]
frequencies[234.38], magnitudes[122.35934]
frequencies[281.25], magnitudes[24.29086]
frequencies[328.12], magnitudes[15.53228]
frequencies[375.00], magnitudes[21.87712]
frequencies[421.88], magnitudes[78.23625]
frequencies[468.75], magnitudes[49.56375]
frequencies[515.62], magnitudes[18.54312]
frequencies[562.50], magnitudes[11.00893]
frequencies[609.38], magnitudes[7.46113]
frequencies[656.25], magnitudes[5.28346]
frequencies[703.12], magnitudes[3.69893]
frequencies[750.00], magnitudes[2.44261]
frequencies[796.88], magnitudes[2.34229]
frequencies[843.75], magnitudes[8.12469]
frequencies[890.62], magnitudes[40.00406]
frequencies[937.50], magnitudes[9.35290]
frequencies[984.38], magnitudes[6.04725]
frequencies[1031.25], magnitudes[4.68389]
frequencies[1078.12], magnitudes[3.90052]
frequencies[1125.00], magnitudes[3.37500]
frequencies[1171.88], magnitudes[2.99015]
frequencies[1218.75], magnitudes[2.69222]
frequencies[1265.62], magnitudes[2.45272]
frequencies[1312.50], magnitudes[2.25497]
frequencies[1359.38], magnitudes[2.08825]
frequencies[1406.25], magnitudes[1.94548]
frequencies[1453.12], magnitudes[1.82162]
frequencies[1500.00], magnitudes[1.71300]
frequencies[1546.88], magnitudes[1.61701]
frequencies[1593.75], magnitudes[1.53143]
frequencies[1640.62], magnitudes[1.45466]
frequencies[1687.50], magnitudes[1.38536]
frequencies[1734.38], magnitudes[1.32251]
frequencies[1781.25], magnitudes[1.26529]
frequencies[1828.12], magnitudes[1.21288]
frequencies[1875.00], magnitudes[1.16486]
frequencies[1921.88], magnitudes[1.12042]
frequencies[1968.75], magnitudes[1.07942]
frequencies[2015.62], magnitudes[1.04139]
frequencies[2062.50], magnitudes[1.00603]
frequencies[2109.38], magnitudes[0.97308]
frequencies[2156.25], magnitudes[0.94228]
frequencies[2203.12], magnitudes[0.91347]
frequencies[2250.00], magnitudes[0.88636]
frequencies[2296.88], magnitudes[0.86097]
frequencies[2343.75], magnitudes[0.83698]
frequencies[2390.62], magnitudes[0.81434]
frequencies[2437.50], magnitudes[0.79301]
frequencies[2484.38], magnitudes[0.77277]
frequencies[2531.25], magnitudes[0.75361]
frequencies[2578.12], magnitudes[0.73537]
frequencies[2625.00], magnitudes[0.71803]
frequencies[2671.88], magnitudes[0.70158]
frequencies[2718.75], magnitudes[0.68595]
frequencies[2765.62], magnitudes[0.67099]
frequencies[2812.50], magnitudes[0.65668]
frequencies[2859.38], magnitudes[0.64302]
frequencies[2906.25], magnitudes[0.62992]
frequencies[2953.12], magnitudes[0.61740]
frequencies[3000.00], magnitudes[0.60542]
frequencies[3046.88], magnitudes[0.59390]
frequencies[3093.75], magnitudes[0.58279]
frequencies[3140.62], magnitudes[0.57213]
frequencies[3187.50], magnitudes[0.56191]
frequencies[3234.38], magnitudes[0.55204]
frequencies[3281.25], magnitudes[0.54253]
frequencies[3328.12], magnitudes[0.53338]
frequencies[3375.00], magnitudes[0.52457]
frequencies[3421.88], magnitudes[0.51603]
frequencies[3468.75], magnitudes[0.50779]
frequencies[3515.62], magnitudes[0.49988]
frequencies[3562.50], magnitudes[0.49213]
frequencies[3609.38], magnitudes[0.48469]
frequencies[3656.25], magnitudes[0.47747]
frequencies[3703.12], magnitudes[0.47047]
frequencies[3750.00], magnitudes[0.46372]
frequencies[3796.88], magnitudes[0.45718]
frequencies[3843.75], magnitudes[0.45071]
frequencies[3890.62], magnitudes[0.44457]
frequencies[3937.50], magnitudes[0.43853]
frequencies[3984.38], magnitudes[0.43272]
frequencies[4031.25], magnitudes[0.42705]
frequencies[4078.12], magnitudes[0.42154]
frequencies[4125.00], magnitudes[0.41623]
frequencies[4171.88], magnitudes[0.41094]
frequencies[4218.75], magnitudes[0.40588]
frequencies[4265.62], magnitudes[0.40099]
frequencies[4312.50], magnitudes[0.39610]
frequencies[4359.38], magnitudes[0.39139]
frequencies[4406.25], magnitudes[0.38699]
frequencies[4453.12], magnitudes[0.38235]
frequencies[4500.00], magnitudes[0.37806]
frequencies[4546.88], magnitudes[0.37376]
frequencies[4593.75], magnitudes[0.36963]
frequencies[4640.62], magnitudes[0.36560]
frequencies[4687.50], magnitudes[0.36159]
frequencies[4734.38], magnitudes[0.35772]
frequencies[4781.25], magnitudes[0.35392]
frequencies[4828.12], magnitudes[0.35030]
frequencies[4875.00], magnitudes[0.34667]
frequencies[4921.88], magnitudes[0.34315]
frequencies[4968.75], magnitudes[0.33970]
frequencies[5015.62], magnitudes[0.33634]
frequencies[5062.50], magnitudes[0.33297]
frequencies[5109.38], magnitudes[0.32985]
frequencies[5156.25], magnitudes[0.32659]
frequencies[5203.12], magnitudes[0.32353]
frequencies[5250.00], magnitudes[0.32046]
frequencies[5296.88], magnitudes[0.31749]
frequencies[5343.75], magnitudes[0.31449]
frequencies[5390.62], magnitudes[0.31166]
frequencies[5437.50], magnitudes[0.30888]
frequencies[5484.38], magnitudes[0.30632]
frequencies[5531.25], magnitudes[0.30351]
frequencies[5578.12], magnitudes[0.30085]
frequencies[5625.00], magnitudes[0.29820]
frequencies[5671.88], magnitudes[0.29568]
frequencies[5718.75], magnitudes[0.29316]
frequencies[5765.62], magnitudes[0.29068]
frequencies[5812.50], magnitudes[0.28837]
frequencies[5859.38], magnitudes[0.28600]
frequencies[5906.25], magnitudes[0.28360]
frequencies[5953.12], magnitudes[0.28136]
frequencies[6000.00], magnitudes[0.27914]
frequencies[6046.88], magnitudes[0.27693]
frequencies[6093.75], magnitudes[0.27479]
frequencies[6140.62], magnitudes[0.27265]
frequencies[6187.50], magnitudes[0.27059]
frequencies[6234.38], magnitudes[0.26847]
frequencies[6281.25], magnitudes[0.26630]
frequencies[6328.12], magnitudes[0.26453]
frequencies[6375.00], magnitudes[0.26250]
frequencies[6421.88], magnitudes[0.26062]
frequencies[6468.75], magnitudes[0.25868]
frequencies[6515.62], magnitudes[0.25686]
frequencies[6562.50], magnitudes[0.25502]
frequencies[6609.38], magnitudes[0.25374]
frequencies[6656.25], magnitudes[0.25146]
frequencies[6703.12], magnitudes[0.24976]
frequencies[6750.00], magnitudes[0.24793]
frequencies[6796.88], magnitudes[0.24629]
frequencies[6843.75], magnitudes[0.24460]
frequencies[6890.62], magnitudes[0.24300]
frequencies[6937.50], magnitudes[0.24140]
frequencies[6984.38], magnitudes[0.23977]
frequencies[7031.25], magnitudes[0.23822]
frequencies[7078.12], magnitudes[0.23664]
frequencies[7125.00], magnitudes[0.23515]
frequencies[7171.88], magnitudes[0.23365]
frequencies[7218.75], magnitudes[0.23219]
frequencies[7265.62], magnitudes[0.23072]
frequencies[7312.50], magnitudes[0.22928]
frequencies[7359.38], magnitudes[0.22783]
frequencies[7406.25], magnitudes[0.22648]
frequencies[7453.12], magnitudes[0.22520]
frequencies[7500.00], magnitudes[0.22369]
frequencies[7546.88], magnitudes[0.22237]
frequencies[7593.75], magnitudes[0.22112]
frequencies[7640.62], magnitudes[0.21981]
frequencies[7687.50], magnitudes[0.21883]
frequencies[7734.38], magnitudes[0.21726]
frequencies[7781.25], magnitudes[0.21609]
frequencies[7828.12], magnitudes[0.21474]
frequencies[7875.00], magnitudes[0.21361]
frequencies[7921.88], magnitudes[0.21229]
frequencies[7968.75], magnitudes[0.21116]
frequencies[8015.62], magnitudes[0.21000]
frequencies[8062.50], magnitudes[0.20886]
frequencies[8109.38], magnitudes[0.20770]
frequencies[8156.25], magnitudes[0.20629]
frequencies[8203.12], magnitudes[0.20555]
frequencies[8250.00], magnitudes[0.20438]
frequencies[8296.88], magnitudes[0.20326]
frequencies[8343.75], magnitudes[0.20218]
frequencies[8390.62], magnitudes[0.20121]
frequencies[8437.50], magnitudes[0.20012]
frequencies[8484.38], magnitudes[0.19908]
frequencies[8531.25], magnitudes[0.19810]
frequencies[8578.12], magnitudes[0.19715]
frequencies[8625.00], magnitudes[0.19597]
frequencies[8671.88], magnitudes[0.19522]
frequencies[8718.75], magnitudes[0.19405]
frequencies[8765.62], magnitudes[0.19310]
frequencies[8812.50], magnitudes[0.19209]
frequencies[8859.38], magnitudes[0.19157]
frequencies[8906.25], magnitudes[0.19029]
frequencies[8953.12], magnitudes[0.18940]
frequencies[9000.00], magnitudes[0.18859]
frequencies[9046.88], magnitudes[0.18770]
frequencies[9093.75], magnitudes[0.18676]
